StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:32:19.648,00:32:19.648,annotation-start,,,annotation-start,Pen Event
00:32:21.452,00:32:21.452,annotation-end,,,annotation-end,Pen Event
00:32:42.562,00:32:42.562,annotation-start,,,annotation-start,Pen Event
00:32:43.764,00:32:43.764,annotation-end,,,annotation-end,Pen Event
00:32:48.400,00:32:48.400,annotation-start,,,annotation-start,Pen Event
00:32:49.517,00:32:49.517,annotation-end,,,annotation-end,Pen Event
00:34:09.654,00:34:09.654,erase-button,,,erase-button,Pen Event
00:34:21.684,00:34:21.684,annotation-start,,,annotation-start,Pen Event
00:34:23.015,00:34:23.015,annotation-end,,,annotation-end,Pen Event
00:34:27.114,00:34:27.114,erase-button,,,erase-button,Pen Event
00:34:32.121,00:34:32.121,annotation-start,,,annotation-start,Pen Event
00:34:33.521,00:34:33.521,annotation-end,,,annotation-end,Pen Event
00:34:51.557,00:34:51.557,erase-button,,,erase-button,Pen Event
00:35:41.009,00:35:41.009,annotation-start,,,annotation-start,Pen Event
00:35:43.010,00:35:43.010,annotation-end,,,annotation-end,Pen Event
00:35:45.244,00:35:45.244,erase-button,,,erase-button,Pen Event
00:36:20.649,00:36:20.649,annotation-start,,,annotation-start,Pen Event
00:36:23.137,00:36:23.137,annotation-end,,,annotation-end,Pen Event
00:36:25.169,00:36:25.169,erase-button,,,erase-button,Pen Event
00:37:02.263,00:37:02.263,annotation-start,,,annotation-start,Pen Event
00:37:03.964,00:37:03.964,annotation-end,,,annotation-end,Pen Event
00:37:08.063,00:37:08.063,annotation-start,,,annotation-start,Pen Event
00:37:10.761,00:37:10.761,annotation-end,,,annotation-end,Pen Event
00:37:12.989,00:37:12.989,annotation-start,,,annotation-start,Pen Event
00:37:14.434,00:37:14.434,annotation-end,,,annotation-end,Pen Event
00:37:41.512,00:37:41.512,erase-button,,,erase-button,Pen Event
00:39:10.103,00:39:10.103,annotation-start,,,annotation-start,Pen Event
00:39:11.238,00:39:11.238,annotation-end,,,annotation-end,Pen Event
00:39:13.769,00:39:13.769,annotation-start,,,annotation-start,Pen Event
00:39:14.671,00:39:14.671,annotation-end,,,annotation-end,Pen Event
00:39:57.082,00:39:57.082,erase-button,,,erase-button,Pen Event
00:40:00.105,00:40:00.105,erase-button,,,erase-button,Pen Event
