Title,Description,Start(HMS),Start(sec),End(HMS),End(sec),Duration(sec),PrimaryTag,Tags
state-change,pointer,00:32:04.923,1924.923,00:32:04.923,1924.923,0,,
select,,00:32:09.745,1929.745,00:32:09.745,1929.745,0,,
state-change,pen,00:32:15.229,1935.229,00:32:15.229,1935.229,0,,
annotation-start,,00:32:19.648,1939.648,00:32:19.648,1939.648,0,,
annotation-end,,00:32:21.452,1941.452,00:32:21.452,1941.452,0,,
annotation-start,,00:32:42.562,1962.562,00:32:42.562,1962.562,0,,
annotation-end,,00:32:43.764,1963.764,00:32:43.764,1963.764,0,,
annotation-start,,00:32:48.400,1968.4,00:32:48.400,1968.4,0,,
annotation-end,,00:32:49.517,1969.517,00:32:49.517,1969.517,0,,
erase-button,,00:34:09.654,2049.654,00:34:09.654,2049.654,0,,
annotation-start,,00:34:21.684,2061.684,00:34:21.684,2061.684,0,,
annotation-end,,00:34:23.015,2063.015,00:34:23.015,2063.015,0,,
erase-button,,00:34:27.114,2067.114,00:34:27.114,2067.114,0,,
annotation-start,,00:34:32.121,2072.121,00:34:32.121,2072.121,0,,
annotation-end,,00:34:33.521,2073.521,00:34:33.521,2073.521,0,,
erase-button,,00:34:51.557,2091.557,00:34:51.557,2091.557,0,,
annotation-start,,00:35:41.009,2141.009,00:35:41.009,2141.009,0,,
annotation-end,,00:35:43.010,2143.01,00:35:43.010,2143.01,0,,
erase-button,,00:35:45.244,2145.244,00:35:45.244,2145.244,0,,
annotation-start,,00:36:20.649,2180.649,00:36:20.649,2180.649,0,,
annotation-end,,00:36:23.137,2183.137,00:36:23.137,2183.137,0,,
erase-button,,00:36:25.169,2185.169,00:36:25.169,2185.169,0,,
annotation-start,,00:37:02.263,2222.263,00:37:02.263,2222.263,0,,
annotation-end,,00:37:03.964,2223.964,00:37:03.964,2223.964,0,,
annotation-start,,00:37:08.063,2228.063,00:37:08.063,2228.063,0,,
annotation-end,,00:37:10.761,2230.761,00:37:10.761,2230.761,0,,
annotation-start,,00:37:12.989,2232.989,00:37:12.989,2232.989,0,,
annotation-end,,00:37:14.434,2234.434,00:37:14.434,2234.434,0,,
erase-button,,00:37:41.512,2261.512,00:37:41.512,2261.512,0,,
annotation-start,,00:39:10.103,2350.103,00:39:10.103,2350.103,0,,
annotation-end,,00:39:11.238,2351.238,00:39:11.238,2351.238,0,,
annotation-start,,00:39:13.769,2353.769,00:39:13.769,2353.769,0,,
annotation-end,,00:39:14.671,2354.671,00:39:14.671,2354.671,0,,
erase-button,,00:39:57.082,2397.082,00:39:57.082,2397.082,0,,
erase-button,,00:40:00.105,2400.105,00:40:00.105,2400.105,0,,
annotation-start,,00:44:14.006,2654.006,00:44:14.006,2654.006,0,,
annotation-end,,00:44:15.703,2655.703,00:44:15.703,2655.703,0,,
erase-button,,00:45:34.055,2734.055,00:45:34.055,2734.055,0,,
state-change,pointer,00:52:05.594,3125.594,00:52:05.594,3125.594,0,,
select,,01:00:37.698,3637.698,01:00:37.698,3637.698,0,,
state-change,pen,01:00:41.045,3641.045,01:00:41.045,3641.045,0,,
state-change,pointer,01:00:52.929,3652.929,01:00:52.929,3652.929,0,,
select,,01:00:56.885,3656.885,01:00:56.885,3656.885,0,,
select,,01:01:04.834,3664.834,01:01:04.834,3664.834,0,,
state-change,pen,01:01:06.264,3666.264,01:01:06.264,3666.264,0,,
annotation-start,,01:01:15.525,3675.525,01:01:15.525,3675.525,0,,
annotation-end,,01:01:17.360,3677.36,01:01:17.360,3677.36,0,,
erase-button,,01:01:34.339,3694.339,01:01:34.339,3694.339,0,,
state-change,pointer,01:01:46.847,3706.847,01:01:46.847,3706.847,0,,
select,,01:01:51.442,3711.442,01:01:51.442,3711.442,0,,
select,,01:01:58.306,3718.306,01:01:58.306,3718.306,0,,
state-change,pen,01:02:00.801,3720.801,01:02:00.801,3720.801,0,,
annotation-start,,01:02:32.502,3752.502,01:02:32.502,3752.502,0,,
annotation-end,,01:02:35.942,3755.942,01:02:35.942,3755.942,0,,
annotation-start,,01:02:43.855,3763.855,01:02:43.855,3763.855,0,,
annotation-end,,01:02:44.823,3764.823,01:02:44.823,3764.823,0,,
annotation-start,,01:02:45.191,3765.191,01:02:45.191,3765.191,0,,
annotation-end,,01:02:46.018,3766.018,01:02:46.018,3766.018,0,,
erase-button,,01:03:24.738,3804.738,01:03:24.738,3804.738,0,,
state-change,pointer,01:03:45.889,3825.889,01:03:45.889,3825.889,0,,
state-change,pen,01:04:50.468,3890.468,01:04:50.468,3890.468,0,,
annotation-start,,01:04:53.985,3893.985,01:04:53.985,3893.985,0,,
annotation-end,,01:04:57.463,3897.463,01:04:57.463,3897.463,0,,
erase-button,,01:05:03.843,3903.843,01:05:03.843,3903.843,0,,
annotation-resize,,01:05:19.230,3919.23,01:05:19.230,3919.23,0,,
annotation-resize,,01:05:19.657,3919.657,01:05:19.657,3919.657,0,,
state-change,pointer,01:05:42.628,3942.628,01:05:42.628,3942.628,0,,
state-change,pen,01:05:43.326,3943.326,01:05:43.326,3943.326,0,,
annotation-start,,01:05:47.179,3947.179,01:05:47.179,3947.179,0,,
annotation-end,,01:05:49.200,3949.2,01:05:49.200,3949.2,0,,
annotation-start,,01:05:54.774,3954.774,01:05:54.774,3954.774,0,,
annotation-end,,01:05:55.863,3955.863,01:05:55.863,3955.863,0,,
erase-button,,01:06:05.018,3965.018,01:06:05.018,3965.018,0,,
annotation-resize,,01:06:06.017,3966.017,01:06:06.017,3966.017,0,,
state-change,pointer,01:06:47.930,4007.93,01:06:47.930,4007.93,0,,
select,,01:06:54.157,4014.157,01:06:54.157,4014.157,0,,
select,,01:06:56.441,4016.441,01:06:56.441,4016.441,0,,
state-change,pen,01:08:08.897,4088.897,01:08:08.897,4088.897,0,,
state-change,pointer,01:11:09.747,4269.747,01:11:09.747,4269.747,0,,
select,,01:11:12.562,4272.562,01:11:12.562,4272.562,0,,
select,,01:11:29.906,4289.906,01:11:29.906,4289.906,0,,
select,,01:11:34.574,4294.574,01:11:34.574,4294.574,0,,
state-change,pen,01:13:44.151,4424.151,01:13:44.151,4424.151,0,,
state-change,pointer,01:13:45.504,4425.504,01:13:45.504,4425.504,0,,
select,,01:13:47.067,4427.067,01:13:47.067,4427.067,0,,
state-change,pen,01:14:21.930,4461.93,01:14:21.930,4461.93,0,,
,,01:21:02.671,4862.671,01:21:02.671,4862.671,0,,
28,-0.06061581;-0.302904,0.6896978,00:05:26.422,326.422,00:05:26.422,326.422,0,,
28,-0.06117395;-0.302428,0.6899225,00:05:26.465,326.465,00:05:26.465,326.465,0,,
