Title,Description,Start(HMS),Start(sec),End(HMS),End(sec),Duration(sec),PrimaryTag,Tags
32,-0.01242945;0.05734414,0.6006408,00:13:27.921,807.921,00:13:27.921,807.921,0,,
32,-0.01464208;0.05835855,0.6001851,00:13:27.921,807.921,00:13:27.921,807.921,0,,
32,-0.01549278;0.05843943,0.6000815,00:13:27.962,807.962,00:13:27.962,807.962,0,,
32,-0.01770151;0.0602861,0.599267,00:13:27.962,807.962,00:13:27.962,807.962,0,,
32,-0.01954503;0.06070441,0.5987448,00:13:28.002,808.002,00:13:28.002,808.002,0,,
32,-0.02018718;0.06098765,0.5989681,00:13:28.002,808.002,00:13:28.002,808.002,0,,
32,-0.02038862;0.06173974,0.5978579,00:13:28.043,808.043,00:13:28.043,808.043,0,,
32,-0.02031217;0.0620122,0.5975598,00:13:28.084,808.084,00:13:28.084,808.084,0,,
32,-0.01993451;0.06160736,0.5972432,00:13:28.084,808.084,00:13:28.084,808.084,0,,
32,-0.01963459;0.06091082,0.5971034,00:13:28.124,808.124,00:13:28.124,808.124,0,,
32,-0.01712396;0.06007749,0.5949097,00:13:28.125,808.125,00:13:28.125,808.125,0,,
32,-0.0157286;0.05929554,0.5936951,00:13:28.167,808.167,00:13:28.167,808.167,0,,
32,-0.01396369;0.05759937,0.5921037,00:13:28.168,808.168,00:13:28.168,808.168,0,,
33,-0.01372309;0.07443124,0.5798627,00:13:28.646,808.646,00:13:28.646,808.646,0,,
33,-0.01313759;0.0736233,0.5806072,00:13:28.687,808.687,00:13:28.687,808.687,0,,
33,-0.01236646;0.0725069,0.581207,00:13:28.727,808.727,00:13:28.727,808.727,0,,
33,-0.01146575;0.07098985,0.582392,00:13:28.727,808.727,00:13:28.727,808.727,0,,
33,-0.0110364;0.06985939,0.5829972,00:13:28.769,808.769,00:13:28.769,808.769,0,,
33,-0.01078907;0.06843483,0.5840838,00:13:28.770,808.77,00:13:28.770,808.77,0,,
33,-0.01035496;0.06685132,0.5852415,00:13:28.810,808.81,00:13:28.810,808.81,0,,
33,-0.01006411;0.06586379,0.5855261,00:13:28.811,808.811,00:13:28.811,808.811,0,,
33,-0.009771161;0.06474996,0.5861863,00:13:28.850,808.85,00:13:28.850,808.85,0,,
33,-0.009640418;0.06355542,0.586436,00:13:28.850,808.85,00:13:28.850,808.85,0,,
33,-0.009397157;0.06311369,0.5863705,00:13:28.893,808.893,00:13:28.893,808.893,0,,
33,-0.009596832;0.06284577,0.5860177,00:13:28.893,808.893,00:13:28.893,808.893,0,,
33,-0.009765647;0.0627411,0.5852177,00:13:28.935,808.935,00:13:28.935,808.935,0,,
33,-0.009753779;0.06298345,0.5844004,00:13:28.935,808.935,00:13:28.935,808.935,0,,
33,-0.009961806;0.06326061,0.5826564,00:13:28.976,808.976,00:13:28.976,808.976,0,,
33,-0.01041342;0.06366551,0.58068,00:13:28.976,808.976,00:13:28.976,808.976,0,,
34,-0.005547069;0.07489443,0.5761866,00:13:29.355,809.355,00:13:29.355,809.355,0,,
34,-0.004723176;0.07368302,0.5774235,00:13:29.394,809.394,00:13:29.394,809.394,0,,
34,-0.004118912;0.07246584,0.5781612,00:13:29.436,809.436,00:13:29.436,809.436,0,,
34,-0.003421277;0.07059562,0.5792209,00:13:29.436,809.436,00:13:29.436,809.436,0,,
34,-0.002677657;0.06866741,0.5801979,00:13:29.476,809.476,00:13:29.476,809.476,0,,
34,-0.002907269;0.06765389,0.5808383,00:13:29.476,809.476,00:13:29.476,809.476,0,,
34,-0.002967119;0.06683314,0.5809665,00:13:29.516,809.516,00:13:29.516,809.516,0,,
34,-0.00334692;0.06444114,0.5796469,00:13:29.516,809.516,00:13:29.516,809.516,0,,
34,-0.003411025;0.06299734,0.5776743,00:13:29.558,809.558,00:13:29.558,809.558,0,,
34,-0.003356703;0.05990815,0.5726938,00:13:29.558,809.558,00:13:29.558,809.558,0,,
,,00:13:39.172,819.172,00:13:39.172,819.172,0,,
35,0.2323152;0.2110985,0.6360697,00:13:47.748,827.748,00:13:47.748,827.748,0,,
35,0.2324505;0.2113588,0.6361083,00:13:47.791,827.791,00:13:47.791,827.791,0,,
35,0.2328223;0.2114576,0.6359491,00:13:47.831,827.831,00:13:47.831,827.831,0,,
35,0.2327926;0.2118079,0.6358236,00:13:47.831,827.831,00:13:47.831,827.831,0,,
35,0.2330745;0.2120538,0.6356866,00:13:47.873,827.873,00:13:47.873,827.873,0,,
35,0.2331265;0.2123971,0.6356604,00:13:47.873,827.873,00:13:47.873,827.873,0,,
35,0.2327812;0.2124819,0.6356267,00:13:47.914,827.914,00:13:47.914,827.914,0,,
35,0.2325322;0.2126474,0.6356474,00:13:47.914,827.914,00:13:47.914,827.914,0,,
35,0.2324359;0.212553,0.6356583,00:13:47.954,827.954,00:13:47.954,827.954,0,,
35,0.231902;0.2127925,0.6356769,00:13:47.954,827.954,00:13:47.954,827.954,0,,
35,0.2318985;0.2128654,0.6357407,00:13:47.994,827.994,00:13:47.994,827.994,0,,
35,0.2313981;0.2127463,0.6356719,00:13:47.994,827.994,00:13:47.994,827.994,0,,
35,0.2312105;0.2130287,0.6353713,00:13:48.035,828.035,00:13:48.035,828.035,0,,
35,0.2307763;0.2130277,0.635152,00:13:48.035,828.035,00:13:48.035,828.035,0,,
35,0.2308294;0.213126,0.6350319,00:13:48.078,828.078,00:13:48.078,828.078,0,,
35,0.2303445;0.213061,0.6349005,00:13:48.118,828.118,00:13:48.118,828.118,0,,
35,0.230085;0.2129862,0.6345859,00:13:48.119,828.119,00:13:48.119,828.119,0,,
35,0.2295328;0.2125716,0.6345529,00:13:48.159,828.159,00:13:48.159,828.159,0,,
35,0.2291695;0.2121763,0.6345392,00:13:48.159,828.159,00:13:48.159,828.159,0,,
35,0.2287189;0.211902,0.6342095,00:13:48.199,828.199,00:13:48.199,828.199,0,,
35,0.2282689;0.2114529,0.6340673,00:13:48.199,828.199,00:13:48.199,828.199,0,,
35,0.2275991;0.2108737,0.6336053,00:13:48.239,828.239,00:13:48.239,828.239,0,,
35,0.2271155;0.2107955,0.6330114,00:13:48.239,828.239,00:13:48.239,828.239,0,,
35,0.226593;0.2105897,0.6324346,00:13:48.279,828.279,00:13:48.279,828.279,0,,
35,0.2256959;0.209106,0.6318687,00:13:48.319,828.319,00:13:48.319,828.319,0,,
35,0.2250686;0.2085366,0.6310469,00:13:48.319,828.319,00:13:48.319,828.319,0,,
35,0.2246331;0.207854,0.6304131,00:13:48.359,828.359,00:13:48.359,828.359,0,,
35,0.2238239;0.2075492,0.6294319,00:13:48.359,828.359,00:13:48.359,828.359,0,,
35,0.2232019;0.2068576,0.628486,00:13:48.401,828.401,00:13:48.401,828.401,0,,
35,0.2228183;0.2063609,0.6278474,00:13:48.401,828.401,00:13:48.401,828.401,0,,
35,0.2220224;0.2053993,0.6269802,00:13:48.440,828.44,00:13:48.440,828.44,0,,
35,0.2210997;0.2047777,0.6259146,00:13:48.440,828.44,00:13:48.440,828.44,0,,
35,0.2204099;0.2037732,0.6253444,00:13:48.482,828.482,00:13:48.482,828.482,0,,
35,0.2196508;0.2034331,0.6241922,00:13:48.482,828.482,00:13:48.482,828.482,0,,
35,0.2187507;0.2025428,0.6235416,00:13:48.522,828.522,00:13:48.522,828.522,0,,
35,0.2178926;0.2014758,0.6225251,00:13:48.563,828.563,00:13:48.563,828.563,0,,
35,0.216724;0.2001392,0.6212386,00:13:48.563,828.563,00:13:48.563,828.563,0,,
35,0.215785;0.1993125,0.6204413,00:13:48.604,828.604,00:13:48.604,828.604,0,,
35,0.2144139;0.1980532,0.6193281,00:13:48.605,828.605,00:13:48.605,828.605,0,,
35,0.2128102;0.1965179,0.618219,00:13:48.645,828.645,00:13:48.645,828.645,0,,
35,0.2111893;0.1952733,0.6168195,00:13:48.645,828.645,00:13:48.645,828.645,0,,
35,0.2103871;0.193764,0.616099,00:13:48.686,828.686,00:13:48.686,828.686,0,,
35,0.2085589;0.1922008,0.6147538,00:13:48.686,828.686,00:13:48.686,828.686,0,,
35,0.2074715;0.1910406,0.6137214,00:13:48.726,828.726,00:13:48.726,828.726,0,,
35,0.2056244;0.189788,0.6122568,00:13:48.726,828.726,00:13:48.726,828.726,0,,
35,0.2033197;0.1881933,0.6110128,00:13:48.767,828.767,00:13:48.767,828.767,0,,
35,0.2013266;0.1864808,0.6097433,00:13:48.767,828.767,00:13:48.767,828.767,0,,
35,0.1999542;0.1857378,0.6089787,00:13:48.808,828.808,00:13:48.808,828.808,0,,
35,0.1980156;0.1841722,0.6079874,00:13:48.850,828.85,00:13:48.850,828.85,0,,
35,0.1961307;0.182949,0.6068928,00:13:48.850,828.85,00:13:48.850,828.85,0,,
35,0.1946555;0.1820975,0.6059957,00:13:48.891,828.891,00:13:48.891,828.891,0,,
35,0.1926892;0.1806833,0.6048144,00:13:48.891,828.891,00:13:48.891,828.891,0,,
35,0.1904922;0.1793088,0.6038132,00:13:48.932,828.932,00:13:48.932,828.932,0,,
35,0.1888172;0.178154,0.6031122,00:13:48.932,828.932,00:13:48.932,828.932,0,,
35,0.1866133;0.1763876,0.6024569,00:13:48.972,828.972,00:13:48.972,828.972,0,,
35,0.1852449;0.1753595,0.6018206,00:13:48.973,828.973,00:13:48.973,828.973,0,,
35,0.1828699;0.1734629,0.600913,00:13:49.013,829.013,00:13:49.013,829.013,0,,
35,0.1805861;0.1724096,0.5997381,00:13:49.014,829.014,00:13:49.014,829.014,0,,
35,0.1788582;0.170809,0.5992335,00:13:49.053,829.053,00:13:49.053,829.053,0,,
35,0.1758592;0.1692559,0.5984167,00:13:49.094,829.094,00:13:49.094,829.094,0,,
35,0.1730276;0.1679111,0.5973873,00:13:49.095,829.095,00:13:49.095,829.095,0,,
35,0.1702844;0.1662828,0.5964154,00:13:49.134,829.134,00:13:49.134,829.134,0,,
35,0.1682183;0.1657212,0.595852,00:13:49.134,829.134,00:13:49.134,829.134,0,,
35,0.1655275;0.1633412,0.5955566,00:13:49.175,829.175,00:13:49.175,829.175,0,,
35,0.1633293;0.1626481,0.594991,00:13:49.175,829.175,00:13:49.175,829.175,0,,
35,0.1603509;0.1613029,0.5942411,00:13:49.215,829.215,00:13:49.215,829.215,0,,
35,0.1571616;0.1599829,0.5934865,00:13:49.215,829.215,00:13:49.215,829.215,0,,
35,0.1541823;0.1584135,0.5928413,00:13:49.256,829.256,00:13:49.256,829.256,0,,
35,0.1520744;0.1577624,0.5924405,00:13:49.297,829.297,00:13:49.297,829.297,0,,
35,0.1489566;0.1557311,0.591961,00:13:49.297,829.297,00:13:49.297,829.297,0,,
35,0.1466292;0.155145,0.5913304,00:13:49.338,829.338,00:13:49.338,829.338,0,,
35,0.1433024;0.1538876,0.5906589,00:13:49.338,829.338,00:13:49.338,829.338,0,,
35,0.1398258;0.1524662,0.5900769,00:13:49.379,829.379,00:13:49.379,829.379,0,,
35,0.1379227;0.1514444,0.5898349,00:13:49.379,829.379,00:13:49.379,829.379,0,,
35,0.1347308;0.1500222,0.5892183,00:13:49.420,829.42,00:13:49.420,829.42,0,,
35,0.1315434;0.1482711,0.588716,00:13:49.420,829.42,00:13:49.420,829.42,0,,
35,0.1292907;0.1476507,0.5882454,00:13:49.462,829.462,00:13:49.462,829.462,0,,
35,0.1263593;0.1460279,0.5880681,00:13:49.462,829.462,00:13:49.462,829.462,0,,
35,0.1235542;0.144107,0.5877051,00:13:49.503,829.503,00:13:49.503,829.503,0,,
35,0.1219363;0.1427642,0.5874537,00:13:49.503,829.503,00:13:49.503,829.503,0,,
35,0.1191479;0.1411043,0.586672,00:13:49.544,829.544,00:13:49.544,829.544,0,,
35,0.116434;0.1390783,0.5857132,00:13:49.585,829.585,00:13:49.585,829.585,0,,
35,0.1145614;0.1374533,0.5849217,00:13:49.585,829.585,00:13:49.585,829.585,0,,
35,0.1115424;0.1357807,0.5839547,00:13:49.628,829.628,00:13:49.628,829.628,0,,
35,0.1095168;0.13439,0.5835366,00:13:49.628,829.628,00:13:49.628,829.628,0,,
35,0.1067398;0.1325669,0.5824901,00:13:49.667,829.667,00:13:49.667,829.667,0,,
35,0.1034135;0.130601,0.5813516,00:13:49.668,829.668,00:13:49.668,829.668,0,,
35,0.1013609;0.1292544,0.5805691,00:13:49.708,829.708,00:13:49.708,829.708,0,,
35,0.09829178;0.127183,0.5794967,00:13:49.708,829.708,00:13:49.708,829.708,0,,
35,0.09519979;0.1253035,0.5778973,00:13:49.749,829.749,00:13:49.749,829.749,0,,
35,0.0916065;0.1231982,0.57715,00:13:49.749,829.749,00:13:49.749,829.749,0,,
35,0.08897558;0.1218401,0.5766727,00:13:49.789,829.789,00:13:49.789,829.789,0,,
35,0.08560134;0.1203136,0.5759723,00:13:49.789,829.789,00:13:49.789,829.789,0,,
35,0.08333119;0.1180352,0.5760797,00:13:49.831,829.831,00:13:49.831,829.831,0,,
35,0.08084993;0.1235491,0.5729183,00:13:49.872,829.872,00:13:49.872,829.872,0,,
35,0.07629111;0.1144086,0.575156,00:13:49.872,829.872,00:13:49.872,829.872,0,,
35,0.07323383;0.1169355,0.573189,00:13:49.913,829.913,00:13:49.913,829.913,0,,
35,0.07062321;0.1127548,0.5740876,00:13:49.913,829.913,00:13:49.913,829.913,0,,
35,0.06658364;0.1159824,0.5714387,00:13:49.955,829.955,00:13:49.955,829.955,0,,
35,0.06266236;0.1055108,0.5751323,00:13:49.955,829.955,00:13:49.955,829.955,0,,
35,0.06064312;0.1132057,0.5711455,00:13:49.997,829.997,00:13:49.997,829.997,0,,
35,0.05709628;0.1111392,0.5713789,00:13:49.997,829.997,00:13:49.997,829.997,0,,
35,0.05327538;0.1095599,0.5713179,00:13:50.036,830.036,00:13:50.036,830.036,0,,
35,0.0508026;0.108493,0.5713205,00:13:50.036,830.036,00:13:50.036,830.036,0,,
35,0.04693774;0.1062409,0.5718856,00:13:50.077,830.077,00:13:50.077,830.077,0,,
35,0.0434716;0.1035828,0.5725178,00:13:50.117,830.117,00:13:50.117,830.117,0,,
35,0.03913844;0.1028058,0.572262,00:13:50.117,830.117,00:13:50.117,830.117,0,,
35,0.03666568;0.1015759,0.5725985,00:13:50.158,830.158,00:13:50.158,830.158,0,,
35,0.03316588;0.09946114,0.573195,00:13:50.158,830.158,00:13:50.158,830.158,0,,
35,0.03017813;0.09818333,0.5734997,00:13:50.199,830.199,00:13:50.199,830.199,0,,
35,0.02882781;0.09786516,0.5732352,00:13:50.199,830.199,00:13:50.199,830.199,0,,
35,0.02474661;0.09520543,0.5744435,00:13:50.239,830.239,00:13:50.239,830.239,0,,
35,0.0220912;0.09321231,0.5753374,00:13:50.239,830.239,00:13:50.239,830.239,0,,
35,0.02018373;0.09131956,0.5766662,00:13:50.283,830.283,00:13:50.283,830.283,0,,
35,0.0175254;0.09021634,0.5771992,00:13:50.283,830.283,00:13:50.283,830.283,0,,
35,0.01492055;0.08784717,0.5788233,00:13:50.323,830.323,00:13:50.323,830.323,0,,
35,0.01379874;0.08783597,0.5788396,00:13:50.364,830.364,00:13:50.364,830.364,0,,
35,0.01137354;0.08533877,0.5805271,00:13:50.364,830.364,00:13:50.364,830.364,0,,
35,0.009608291;0.08274305,0.582426,00:13:50.405,830.405,00:13:50.405,830.405,0,,
35,0.007642232;0.08196867,0.5829773,00:13:50.405,830.405,00:13:50.405,830.405,0,,
35,0.005509272;0.07974446,0.5847546,00:13:50.445,830.445,00:13:50.445,830.445,0,,
35,0.00372503;0.07794023,0.586197,00:13:50.445,830.445,00:13:50.445,830.445,0,,
35,0.002850369;0.0779891,0.5865526,00:13:50.487,830.487,00:13:50.487,830.487,0,,
35,0.001698986;0.07741725,0.5870112,00:13:50.488,830.488,00:13:50.488,830.488,0,,
35,0.000391379;0.07497209,0.5887874,00:13:50.529,830.529,00:13:50.529,830.529,0,,
35,-1.648068E-05;0.07566756,0.5888084,00:13:50.529,830.529,00:13:50.529,830.529,0,,
35,-0.001356639;0.07596874,0.5888934,00:13:50.575,830.575,00:13:50.575,830.575,0,,
35,-0.002875082;0.07422268,0.5907144,00:13:50.576,830.576,00:13:50.576,830.576,0,,
35,-0.003710546;0.07315636,0.5913199,00:13:50.616,830.616,00:13:50.616,830.616,0,,
35,-0.004358098;0.0746519,0.5902427,00:13:50.617,830.617,00:13:50.617,830.617,0,,
35,-0.005184956;0.07371205,0.5909733,00:13:50.656,830.656,00:13:50.656,830.656,0,,
35,-0.006387331;0.07183123,0.5918623,00:13:50.696,830.696,00:13:50.696,830.696,0,,
35,-0.006814294;0.0735206,0.5905013,00:13:50.697,830.697,00:13:50.697,830.697,0,,
35,-0.007730983;0.07231659,0.591208,00:13:50.736,830.736,00:13:50.736,830.736,0,,
35,-0.008349895;0.07127929,0.5916106,00:13:50.737,830.737,00:13:50.737,830.737,0,,
35,-0.008988991;0.07057327,0.5922623,00:13:50.776,830.776,00:13:50.776,830.776,0,,
35,-0.009282112;0.07073647,0.5921855,00:13:50.777,830.777,00:13:50.777,830.777,0,,
35,-0.009584218;0.07027853,0.5928146,00:13:50.817,830.817,00:13:50.817,830.817,0,,
35,-0.009789221;0.07009798,0.5931872,00:13:50.817,830.817,00:13:50.817,830.817,0,,
35,-0.009562746;0.07004917,0.5934446,00:13:50.857,830.857,00:13:50.857,830.857,0,,
35,-0.009545878;0.06933767,0.5941695,00:13:50.900,830.9,00:13:50.900,830.9,0,,
35,-0.009392299;0.06849116,0.5943373,00:13:50.900,830.9,00:13:50.900,830.9,0,,
35,-0.008795336;0.06867504,0.5937332,00:13:50.941,830.941,00:13:50.941,830.941,0,,
35,-0.008616649;0.06899655,0.5934345,00:13:50.941,830.941,00:13:50.941,830.941,0,,
35,-0.007514946;0.06868857,0.5925843,00:13:50.981,830.981,00:13:50.981,830.981,0,,
35,-0.006869107;0.06916308,0.5914993,00:13:50.981,830.981,00:13:50.981,830.981,0,,
35,-0.006185375;0.06829959,0.5909632,00:13:51.022,831.022,00:13:51.022,831.022,0,,
35,-0.005212657;0.06846678,0.5894108,00:13:51.022,831.022,00:13:51.022,831.022,0,,
35,-0.004802324;0.0682686,0.5885373,00:13:51.063,831.063,00:13:51.063,831.063,0,,
,,00:14:00.219,840.219,00:14:00.219,840.219,0,,
36,-0.07022666;0.05401725,0.6403075,00:14:54.905,894.905,00:14:54.905,894.905,0,,
36,-0.07001978;0.05396652,0.6401079,00:14:54.946,894.946,00:14:54.946,894.946,0,,
36,-0.07005406;0.05408669,0.6399949,00:14:54.987,894.987,00:14:54.987,894.987,0,,
36,-0.0696885;0.05402279,0.6398783,00:14:54.987,894.987,00:14:54.987,894.987,0,,
36,-0.06959468;0.05402553,0.6400478,00:14:55.028,895.028,00:14:55.028,895.028,0,,
36,-0.06903626;0.05396438,0.6398764,00:14:55.028,895.028,00:14:55.028,895.028,0,,
36,-0.06837258;0.05381918,0.6396652,00:14:55.068,895.068,00:14:55.068,895.068,0,,
36,-0.06818603;0.0537833,0.6395543,00:14:55.068,895.068,00:14:55.068,895.068,0,,
36,-0.06785605;0.05382913,0.6392201,00:14:55.110,895.11,00:14:55.110,895.11,0,,
36,-0.06738942;0.05369216,0.6391702,00:14:55.110,895.11,00:14:55.110,895.11,0,,
36,-0.06703889;0.0535031,0.6390263,00:14:55.153,895.153,00:14:55.153,895.153,0,,
36,-0.06683146;0.05355167,0.6394523,00:14:55.153,895.153,00:14:55.153,895.153,0,,
36,-0.06675667;0.05329138,0.6399047,00:14:55.195,895.195,00:14:55.195,895.195,0,,
36,-0.06670182;0.05311,0.6402277,00:14:55.195,895.195,00:14:55.195,895.195,0,,
36,-0.06679527;0.0529294,0.6407323,00:14:55.237,895.237,00:14:55.237,895.237,0,,
36,-0.06715168;0.0528065,0.6411106,00:14:55.277,895.277,00:14:55.277,895.277,0,,
36,-0.06746589;0.05298442,0.6413858,00:14:55.277,895.277,00:14:55.277,895.277,0,,
36,-0.0678877;0.05316198,0.6414208,00:14:55.319,895.319,00:14:55.319,895.319,0,,
36,-0.06847638;0.05359763,0.6409894,00:14:55.319,895.319,00:14:55.319,895.319,0,,
36,-0.06890692;0.05392766,0.6406233,00:14:55.358,895.358,00:14:55.358,895.358,0,,
36,-0.06910744;0.05454046,0.6400239,00:14:55.358,895.358,00:14:55.358,895.358,0,,
36,-0.06889589;0.05466688,0.6391876,00:14:55.399,895.399,00:14:55.399,895.399,0,,
36,-0.06880511;0.0550068,0.6387888,00:14:55.399,895.399,00:14:55.399,895.399,0,,
36,-0.06831717;0.05521983,0.638304,00:14:55.440,895.44,00:14:55.440,895.44,0,,
36,-0.06800564;0.05533272,0.6380334,00:14:55.440,895.44,00:14:55.440,895.44,0,,
36,-0.0676745;0.05540007,0.6382414,00:14:55.480,895.48,00:14:55.480,895.48,0,,
36,-0.06684101;0.05494457,0.6385224,00:14:55.480,895.48,00:14:55.480,895.48,0,,
36,-0.06647065;0.05458891,0.6392404,00:14:55.522,895.522,00:14:55.522,895.522,0,,
36,-0.06609876;0.0543378,0.6399556,00:14:55.562,895.562,00:14:55.562,895.562,0,,
36,-0.06613675;0.05409825,0.6408172,00:14:55.562,895.562,00:14:55.562,895.562,0,,
36,-0.06699958;0.0540995,0.6417239,00:14:55.602,895.602,00:14:55.602,895.602,0,,
36,-0.06745744;0.0539211,0.6418594,00:14:55.602,895.602,00:14:55.602,895.602,0,,
36,-0.06815788;0.05377913,0.6417429,00:14:55.643,895.643,00:14:55.643,895.643,0,,
36,-0.0686911;0.05361146,0.6413438,00:14:55.643,895.643,00:14:55.643,895.643,0,,
36,-0.06904524;0.05360138,0.6405836,00:14:55.683,895.683,00:14:55.683,895.683,0,,
36,-0.06909785;0.05356729,0.6398268,00:14:55.683,895.683,00:14:55.683,895.683,0,,
36,-0.0683633;0.05325991,0.6393002,00:14:55.723,895.723,00:14:55.723,895.723,0,,
36,-0.06788938;0.05311364,0.6391526,00:14:55.766,895.766,00:14:55.766,895.766,0,,
36,-0.06694745;0.05289167,0.6392456,00:14:55.766,895.766,00:14:55.766,895.766,0,,
36,-0.06648863;0.05279231,0.6394704,00:14:55.807,895.807,00:14:55.807,895.807,0,,
36,-0.06630902;0.05277193,0.6395926,00:14:55.807,895.807,00:14:55.807,895.807,0,,
36,-0.06635067;0.0526318,0.6394491,00:14:55.848,895.848,00:14:55.848,895.848,0,,
36,-0.06699727;0.05269521,0.6391066,00:14:55.848,895.848,00:14:55.848,895.848,0,,
36,-0.0675941;0.05277354,0.6387997,00:14:55.889,895.889,00:14:55.889,895.889,0,,
36,-0.06835478;0.05263591,0.6381862,00:14:55.889,895.889,00:14:55.889,895.889,0,,
36,-0.06899996;0.05249912,0.6375613,00:14:55.930,895.93,00:14:55.930,895.93,0,,
36,-0.0694019;0.05233538,0.6370872,00:14:55.931,895.931,00:14:55.931,895.931,0,,
,,00:15:05.611,905.611,00:15:05.611,905.611,0,,
37,0.03410798;0.11411,0.559343,00:15:08.467,908.467,00:15:08.467,908.467,0,,
37,0.03455448;0.1136866,0.5595155,00:15:08.497,908.497,00:15:08.497,908.497,0,,
37,0.03545428;0.1129444,0.5599827,00:15:08.538,908.538,00:15:08.538,908.538,0,,
37,0.03676633;0.1121683,0.5603616,00:15:08.538,908.538,00:15:08.538,908.538,0,,
37,0.03770489;0.1109964,0.5604643,00:15:08.573,908.573,00:15:08.573,908.573,0,,
37,0.03764276;0.1098567,0.5600932,00:15:08.573,908.573,00:15:08.573,908.573,0,,
37,0.03918198;0.1074142,0.5603794,00:15:08.614,908.614,00:15:08.614,908.614,0,,
37,0.04012062;0.1061266,0.5603662,00:15:08.614,908.614,00:15:08.614,908.614,0,,
37,0.04135488;0.1038198,0.560767,00:15:08.665,908.665,00:15:08.665,908.665,0,,
37,0.04231804;0.1020523,0.5611057,00:15:08.665,908.665,00:15:08.665,908.665,0,,
37,0.04413179;0.09917089,0.561425,00:15:08.713,908.713,00:15:08.713,908.713,0,,
37,0.04606394;0.09615088,0.5617926,00:15:08.744,908.744,00:15:08.744,908.744,0,,
37,0.04733468;0.0940285,0.5619999,00:15:08.744,908.744,00:15:08.744,908.744,0,,
37,0.04932152;0.09058779,0.5626663,00:15:08.777,908.777,00:15:08.777,908.777,0,,
37,0.0511146;0.08725801,0.563345,00:15:08.777,908.777,00:15:08.777,908.777,0,,
37,0.05236187;0.08489704,0.5641062,00:15:08.818,908.818,00:15:08.818,908.818,0,,
37,0.05406985;0.08149025,0.5653067,00:15:08.818,908.818,00:15:08.818,908.818,0,,
37,0.05538347;0.07801998,0.5666559,00:15:08.871,908.871,00:15:08.871,908.871,0,,
37,0.05643387;0.07589382,0.567625,00:15:08.871,908.871,00:15:08.871,908.871,0,,
37,0.05740181;0.07235974,0.5687633,00:15:08.905,908.905,00:15:08.905,908.905,0,,
37,0.05833403;0.06923324,0.5704844,00:15:08.905,908.905,00:15:08.905,908.905,0,,
37,0.05868263;0.06715804,0.5714203,00:15:08.942,908.942,00:15:08.942,908.942,0,,
37,0.05867616;0.06504336,0.5721936,00:15:08.942,908.942,00:15:08.942,908.942,0,,
37,0.05887434;0.06078973,0.5735611,00:15:08.994,908.994,00:15:08.994,908.994,0,,
37,0.05861127;0.05885926,0.5741726,00:15:09.036,909.036,00:15:09.036,909.036,0,,
37,0.05835786;0.05584276,0.5750424,00:15:09.036,909.036,00:15:09.036,909.036,0,,
37,0.05785862;0.0527716,0.5756419,00:15:09.088,909.088,00:15:09.088,909.088,0,,
37,0.05730037;0.05088329,0.5763776,00:15:09.088,909.088,00:15:09.088,909.088,0,,
37,0.05618596;0.04838312,0.5771554,00:15:09.123,909.123,00:15:09.123,909.123,0,,
37,0.05479033;0.0459207,0.5779369,00:15:09.123,909.123,00:15:09.123,909.123,0,,
37,0.05349884;0.04434988,0.5786688,00:15:09.168,909.168,00:15:09.168,909.168,0,,
37,0.05176205;0.04242536,0.579393,00:15:09.168,909.168,00:15:09.168,909.168,0,,
37,0.04950059;0.0407086,0.5799476,00:15:09.199,909.199,00:15:09.199,909.199,0,,
37,0.04777439;0.0393481,0.5803914,00:15:09.199,909.199,00:15:09.199,909.199,0,,
37,0.04491816;0.03772801,0.5808988,00:15:09.233,909.233,00:15:09.233,909.233,0,,
37,0.04196407;0.03609258,0.5816088,00:15:09.233,909.233,00:15:09.233,909.233,0,,
37,0.03994722;0.03473961,0.5823063,00:15:09.275,909.275,00:15:09.275,909.275,0,,
37,0.0368503;0.03322381,0.5831292,00:15:09.275,909.275,00:15:09.275,909.275,0,,
37,0.03352195;0.0316065,0.5840634,00:15:09.318,909.318,00:15:09.318,909.318,0,,
37,0.03265272;0.03101432,0.5844859,00:15:09.369,909.369,00:15:09.369,909.369,0,,
37,0.02797033;0.02891833,0.5859972,00:15:09.369,909.369,00:15:09.369,909.369,0,,
37,0.0244562;0.02744538,0.5869333,00:15:09.401,909.401,00:15:09.401,909.401,0,,
37,0.02211532;0.02657646,0.5876569,00:15:09.401,909.401,00:15:09.401,909.401,0,,
37,0.01850966;0.02536672,0.5888566,00:15:09.451,909.451,00:15:09.451,909.451,0,,
37,0.01494952;0.02418095,0.5899941,00:15:09.451,909.451,00:15:09.451,909.451,0,,
37,0.01258124;0.02339238,0.5905348,00:15:09.482,909.482,00:15:09.482,909.482,0,,
37,0.008691743;0.02262038,0.5911308,00:15:09.483,909.483,00:15:09.483,909.483,0,,
37,0.005231671;0.02211791,0.5915445,00:15:09.524,909.524,00:15:09.524,909.524,0,,
37,0.002681706;0.02200723,0.5916013,00:15:09.524,909.524,00:15:09.524,909.524,0,,
37,-0.00118012;0.02195674,0.5915084,00:15:09.568,909.568,00:15:09.568,909.568,0,,
37,-0.005302381;0.0223127,0.5912589,00:15:09.620,909.62,00:15:09.620,909.62,0,,
37,-0.007940445;0.02269554,0.5911436,00:15:09.620,909.62,00:15:09.620,909.62,0,,
